iter	Passed	Remaining
0	6113	3050564
1	9148	2278029
2	11103	1839531
3	16151	2002847
4	17779	1760148
5	19592	1613156
6	23658	1666231
7	28322	1741803
8	31287	1706911
9	35720	1750323
10	41278	1835018
11	57160	2324544
12	69932	2619790
13	73487	2551077
14	76809	2483519
15	80352	2430648
16	83734	2379049
17	87599	2345731
18	91052	2305076
19	94513	2268319
20	98495	2246635
21	103258	2243524
22	110601	2293788
23	115264	2286071
24	122112	2320139
25	126485	2305933
26	131163	2297797
27	135617	2286129
28	140303	2278726
29	145955	2286629
30	152069	2300666
31	158461	2317505
32	166401	2354829
33	173529	2378380
34	181937	2417168
35	187163	2412326
36	191728	2399192
37	196766	2392269
38	201811	2385510
39	207087	2381506
40	213035	2384953
41	217572	2372574
42	222388	2363523
43	227286	2355509
44	231609	2341825
45	236090	2330105
46	240979	2322629
47	245563	2312386
48	250707	2307532
49	255497	2299473
50	259745	2286777
51	264427	2278143
52	270063	2277707
53	274947	2270863
54	279902	2264666
55	284452	2255305
56	288925	2245504
57	293592	2237380
58	298468	2230925
59	303472	2225462
60	308255	2218431
61	313114	2212004
62	317811	2204504
63	322087	2194222
64	326199	2183028
65	330763	2175021
66	334891	2164299
67	339817	2158839
68	344249	2150314
69	348608	2141453
70	349679	2112853
71	356510	2119256
72	361029	2111774
73	365730	2105422
74	370395	2098906
75	374805	2091018
76	379257	2083451
77	383884	2076913
78	386656	2060534
79	388585	2040075
80	391219	2023715
81	395443	2015795
82	399796	2008615
83	404319	2002346
84	409139	1997565
85	413435	1990257
86	415619	1972998
87	419893	1965863
88	425043	1962842
89	428757	1953227
90	432873	1945554
91	436672	1936548
92	440440	1927519
93	446373	1927953
94	450988	1922636
95	453286	1907582
96	457639	1901325
97	462201	1895968
98	467157	1892225
99	471401	1885606
100	472323	1865913
101	476726	1860169
102	480917	1853631
103	485387	1848206
104	489926	1843056
105	493796	1835430
106	496791	1824663
107	501998	1822070
108	504850	1810976
109	509029	1804739
110	513820	1800687
111	518381	1795821
112	525473	1799632
113	531919	1801059
114	537439	1799253
115	543154	1798027
116	549189	1797774
117	554533	1795184
118	559290	1790670
119	561787	1778995
120	566222	1773538
121	570228	1766773
122	571183	1750699
123	575477	1744997
124	578578	1735735
125	582445	1728846
126	586246	1721811
127	590334	1715658
128	594554	1709919
129	598655	1703864
130	602747	1697815
131	606969	1692156
132	610726	1685236
133	614300	1677865
134	618321	1671758
135	621959	1664657
136	624305	1654181
137	628041	1647472
138	631594	1640327
139	635829	1634990
140	641224	1632622
141	647776	1633125
142	652144	1628081
143	656378	1622713
144	660576	1617272
145	664484	1611147
146	668292	1604810
147	672737	1600025
148	676881	1594533
149	680536	1587919
150	684636	1582372
151	689376	1578310
152	694228	1574492
153	697861	1567921
154	701733	1561923
155	705300	1555278
156	709810	1550732
157	714042	1545585
158	718839	1541661
159	725596	1541892
160	730678	1538510
161	735133	1533796
162	739470	1528844
163	743685	1523648
164	748732	1520154
165	753324	1515724
166	757150	1509767
167	760904	1503692
168	765271	1498845
169	769483	1493702
170	773757	1488692
171	778978	1485493
172	783165	1480319
173	786875	1474261
174	790868	1468756
175	795058	1463631
176	799283	1458579
177	803200	1452981
178	806907	1447024
179	810906	1441611
180	814766	1435968
181	818976	1430959
182	823483	1426470
183	827394	1420959
184	831631	1416020
185	835954	1411234
186	839578	1405284
187	846090	1404150
188	851426	1401024
189	857452	1399001
190	864663	1398853
191	870640	1396652
192	875186	1392136
193	880747	1389220
194	885352	1384782
195	889872	1380211
196	893333	1374009
197	901138	1374464
198	906489	1371122
199	911321	1366981
200	916533	1363400
201	920715	1358283
202	924997	1353321
203	928861	1347759
204	931547	1340519
205	935589	1335259
206	939068	1329213
207	943223	1324140
208	947203	1318833
209	950823	1313042
210	954856	1307835
211	958679	1302357
212	962350	1296688
213	966820	1292106
214	971360	1287617
215	975494	1282594
216	979857	1277878
217	983485	1272215
218	986933	1266339
219	991063	1261353
220	994701	1255753
221	998741	1250676
222	1002972	1245844
223	1006444	1240083
224	1010253	1234754
225	1013909	1229252
226	1019557	1226163
227	1026173	1224207
228	1030784	1219836
229	1034049	1213884
230	1037898	1208634
231	1041351	1202940
232	1046318	1199000
233	1050862	1194570
234	1055220	1189929
235	1060373	1186180
236	1064877	1181699
237	1069046	1176849
238	1073296	1172093
239	1078336	1168198
240	1083066	1163959
241	1087209	1159091
242	1091520	1154406
243	1096291	1150207
244	1100386	1145300
245	1104500	1140419
246	1108967	1135905
247	1113337	1131294
248	1117125	1126098
249	1121651	1121651
250	1125555	1116586
251	1129929	1111994
252	1133994	1107101
253	1137786	1101950
254	1141485	1096721
255	1145125	1091447
256	1148904	1086318
257	1153773	1082221
258	1158511	1077997
259	1162379	1072966
260	1166406	1068089
261	1170460	1063242
262	1175136	1058963
263	1179573	1054467
264	1184062	1050017
265	1188031	1045110
266	1192579	1040715
267	1196697	1035946
268	1201362	1031653
269	1205332	1026764
270	1209515	1022062
271	1213663	1017335
272	1218380	1013085
273	1223562	1009215
274	1228051	1004769
275	1232723	1000471
276	1237558	996301
277	1241650	991533
278	1246836	987637
279	1252808	984349
280	1257557	980089
281	1262767	976181
282	1266765	971335
283	1272274	967645
284	1277286	963566
285	1281356	958777
286	1285393	953967
287	1289041	948877
288	1292996	944021
289	1297255	939392
290	1301933	935065
291	1305915	930241
292	1310101	925566
293	1314068	920741
294	1318406	916180
295	1322680	911576
296	1327035	907030
297	1331475	902543
298	1336050	898147
299	1340212	893475
300	1344019	888571
301	1348497	884113
302	1352211	879160
303	1356979	874894
304	1361457	870440
305	1365775	865884
